Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6387fa9f2ff675e9c98ca311,593d60d9d3501e0001bc16e4,APPROVED,2022-12-01T00:51:45.528000Z,2022-12-01T00:52:24.189000Z,2022-12-01T00:52:24.781000,2022-12-01T00:52:24.700609Z,39,C109FFJY,522,Graduate degree (MA/MSc/MPhil/other),DATA_EXPIRED,Male,White,United States,United States,United States,English,No,Full-Time
6387fabac755c6c98eeb1cbc,6318c3b2f781fbd55e9663af,APPROVED,2022-12-01T00:52:13.420000Z,2022-12-01T00:53:17.191000Z,2022-12-01T00:53:17.660000,2022-12-01T00:53:17.601214Z,64,C109FFJY,330,Graduate degree (MA/MSc/MPhil/other),37,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6387fae2613016d2d1051a1e,5e1f9c6e105841000c7740d9,APPROVED,2022-12-01T00:52:53.120000Z,2022-12-01T00:53:17.010000Z,2022-12-01T00:53:18.721000,2022-12-01T00:53:18.664273Z,24,C109FFJY,1052,Graduate degree (MA/MSc/MPhil/other),37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6387fae53881ece70352989e,5f989fa02b5a611b2df1a305,AWAITING REVIEW,2022-12-01T00:52:55.831000Z,2022-12-01T00:53:36.232000Z,,2022-12-01T00:53:36.646450Z,41,https://berkeley.qualtrics.com/jfe/form/SV_8rdwDz5nVeP9apo,2822,Graduate degree (MA/MSc/MPhil/other),47,Female,White,United States,United States,United States,English,No,Full-Time
6387fb4e5610c39c8f528580,59a86c7c766ed90001068222,AWAITING REVIEW,2022-12-01T00:54:42.538000Z,2022-12-01T00:55:21.711000Z,,2022-12-01T00:55:22.163978Z,40,NOCODE,1380,Doctorate degree (PhD/other),52,Female,White,United States,United States,United States,English,No,Full-Time
6387fb61228020bdb036c139,5f4c4b2355e3b985bcef9c9f,APPROVED,2022-12-01T00:55:02.292000Z,2022-12-01T00:56:05.047000Z,2022-12-01T00:56:05.452000Z,2022-12-01T00:56:05.498694Z,63,C109FFJY,681,Graduate degree (MA/MSc/MPhil/other),30,Female,White,United States,United States,United States,English,Yes,Full-Time
6387fb68c71726245bb6bb0c,60d22b95ea12a89273fde27d,APPROVED,2022-12-01T00:55:07.223000Z,2022-12-01T00:55:57.904000Z,2022-12-01T00:55:58.331000,2022-12-01T00:55:58.265615Z,51,C109FFJY,761,Graduate degree (MA/MSc/MPhil/other),28,Female,White,United States,United States,United States,English,No,Part-Time
6387fbaec887f15366cfd03a,637e4fc1594d2ded19f7e071,AWAITING REVIEW,2022-12-01T00:56:22.859000Z,2022-12-01T01:00:16.150000Z,,2022-12-01T01:00:16.533722Z,234,NOCODE,20,Graduate degree (MA/MSc/MPhil/other),56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6387fbb3c3eddca6b1ab81e9,61160189e88d439232bca89e,APPROVED,2022-12-01T00:56:21.998000Z,2022-12-01T00:56:46.740000Z,2022-12-01T00:56:47.183000,2022-12-01T00:56:47.117494Z,25,C109FFJY,1822,Doctorate degree (PhD/other),29,Male,White,United States,United States,United States,English,No,Full-Time
6387fbe8a895456760255fce,5a35ecbf57d4450001236fd3,APPROVED,2022-12-01T00:57:14.360000Z,2022-12-01T00:57:35.221000Z,2022-12-01T00:57:35.614000,2022-12-01T00:57:35.533365Z,21,C109FFJY,1460,Graduate degree (MA/MSc/MPhil/other),30,Male,White,United States,United States,United States,English,No,Part-Time
